CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Siddiqui, Sumbul 	0  	2124  	 ELECTED -- 1st count
Simmons, E. Denise 	+20  	2118  	 CONTINUING
Toomey, Jr., Timothy J. 	+4  	1768  	 CONTINUING
Nolan, Patricia M. 	+30  	1747  	 CONTINUING
McGovern, Marc C. 	+18  	1683  	 CONTINUING
Carlone, Dennis J. 	+26  	1528  	 CONTINUING
Zondervan, Quinton Y. 	+20  	1457  	 CONTINUING
Kelley, Craig A. 	+9  	1456  	 CONTINUING
Sobrinho-Wheeler, Jivan 	+17  	1376  	 CONTINUING
Mallon, Alanna M. 	+25  	1363  	 CONTINUING
Azeem, Burhan 	+11  	1011  	 CONTINUING
Musgrave, Adriane 	+29  	786  	 CONTINUING
Williams, Nicola A. 	+11  	656  	 CONTINUING
Pitkin, John 	+13  	562  	 CONTINUING
Kopon, Derek Andrew 	+4  	515  	 CONTINUING
Akiba, Sukia 	+3  	387  	 CONTINUING
Franklin, Charles J. 	+5  	349  	 CONTINUING
Simon, Ben 	+1  	311  	 DEFEATED -- 6th count
Mednick, Risa 	-260  	0  	 DEFEATED -- 5th count
Levy, Ilan 	0  	0  	 DEFEATED -- 4th count
McNary, Jeffery 	0  	0  	 DEFEATED -- 3rd count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 2nd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+14  	42  	 
