CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Siddiqui, Sumbul 	0  	2124  	 ELECTED -- 1st count
Simmons, E. Denise 	0  	2124  	 ELECTED -- 7th count
Nolan, Patricia M. 	+58  	2124  	 ELECTED -- 12th count
Zondervan, Quinton Y. 	+271  	1992  	 CONTINUING
Toomey, Jr., Timothy J. 	+24  	1880  	 CONTINUING
McGovern, Marc C. 	+38  	1823  	 CONTINUING
Carlone, Dennis J. 	+95  	1822  	 CONTINUING
Kelley, Craig A. 	+70  	1745  	 CONTINUING
Sobrinho-Wheeler, Jivan 	+86  	1647  	 CONTINUING
Mallon, Alanna M. 	+52  	1552  	 CONTINUING
Azeem, Burhan 	+53  	1216  	 CONTINUING
Musgrave, Adriane 	+35  	911  	 DEFEATED -- 12th count
Williams, Nicola A. 	-875  	0  	 DEFEATED -- 11th count
Pitkin, John 	0  	0  	 DEFEATED -- 10th count
Kopon, Derek Andrew 	0  	0  	 DEFEATED -- 9th count
Akiba, Sukia 	0  	0  	 DEFEATED -- 8th count
Franklin, Charles J. 	0  	0  	 DEFEATED -- 7th count
Simon, Ben 	0  	0  	 DEFEATED -- 6th count
Mednick, Risa 	0  	0  	 DEFEATED -- 5th count
Levy, Ilan 	0  	0  	 DEFEATED -- 4th count
McNary, Jeffery 	0  	0  	 DEFEATED -- 3rd count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 2nd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+93  	279  	 
