CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Siddiqui, Sumbul 	0  	2124  	 ELECTED -- 1st count
Simmons, E. Denise 	0  	2124  	 ELECTED -- 7th count
Nolan, Patricia M. 	+24  	1824  	 CONTINUING
Toomey, Jr., Timothy J. 	+14  	1811  	 CONTINUING
McGovern, Marc C. 	+19  	1738  	 CONTINUING
Carlone, Dennis J. 	+12  	1586  	 CONTINUING
Zondervan, Quinton Y. 	+21  	1562  	 CONTINUING
Sobrinho-Wheeler, Jivan 	+36  	1520  	 CONTINUING
Kelley, Craig A. 	+14  	1495  	 CONTINUING
Mallon, Alanna M. 	+60  	1455  	 CONTINUING
Azeem, Burhan 	+76  	1128  	 CONTINUING
Musgrave, Adriane 	+26  	839  	 CONTINUING
Williams, Nicola A. 	+54  	762  	 CONTINUING
Pitkin, John 	+11  	596  	 CONTINUING
Kopon, Derek Andrew 	+13  	559  	 DEFEATED -- 9th count
Akiba, Sukia 	-415  	0  	 DEFEATED -- 8th count
Franklin, Charles J. 	0  	0  	 DEFEATED -- 7th count
Simon, Ben 	0  	0  	 DEFEATED -- 6th count
Mednick, Risa 	0  	0  	 DEFEATED -- 5th count
Levy, Ilan 	0  	0  	 DEFEATED -- 4th count
McNary, Jeffery 	0  	0  	 DEFEATED -- 3rd count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 2nd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+35  	116  	 
