CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Siddiqui, Sumbul 	0  	2124  	 ELECTED -- 1st count
Simmons, E. Denise 	0  	2124  	 ELECTED -- 7th count
Nolan, Patricia M. 	0  	2124  	 ELECTED -- 12th count
Mallon, Alanna M. 	0  	2124  	 ELECTED -- 14th count
Zondervan, Quinton Y. 	0  	2124  	 ELECTED -- 14th count
Sobrinho-Wheeler, Jivan 	0  	2124  	 ELECTED -- 14th count
McGovern, Marc C. 	0  	2124  	 ELECTED -- 14th count
Carlone, Dennis J. 	+200  	2124  	 ELECTED -- 15th count
Toomey, Jr., Timothy J. 	+117  	2124  	 ELECTED -- 15th count
Kelley, Craig A. 	-1864  	0  	 DEFEATED -- 14th count
Azeem, Burhan 	0  	0  	 DEFEATED -- 13th count
Musgrave, Adriane 	0  	0  	 DEFEATED -- 12th count
Williams, Nicola A. 	0  	0  	 DEFEATED -- 11th count
Pitkin, John 	0  	0  	 DEFEATED -- 10th count
Kopon, Derek Andrew 	0  	0  	 DEFEATED -- 9th count
Akiba, Sukia 	0  	0  	 DEFEATED -- 8th count
Franklin, Charles J. 	0  	0  	 DEFEATED -- 7th count
Simon, Ben 	0  	0  	 DEFEATED -- 6th count
Mednick, Risa 	0  	0  	 DEFEATED -- 5th count
Levy, Ilan 	0  	0  	 DEFEATED -- 4th count
McNary, Jeffery 	0  	0  	 DEFEATED -- 3rd count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 2nd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+1547  	2123  	 
