CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Siddiqui, Sumbul 	-392  	2124  	 ELECTED -- 1st count
Simmons, E. Denise 	+75  	2082  	 CONTINUING
Toomey, Jr., Timothy J. 	+15  	1744  	 CONTINUING
Nolan, Patricia M. 	+15  	1700  	 CONTINUING
McGovern, Marc C. 	+32  	1653  	 CONTINUING
Carlone, Dennis J. 	+10  	1489  	 CONTINUING
Kelley, Craig A. 	+12  	1434  	 CONTINUING
Zondervan, Quinton Y. 	+31  	1413  	 CONTINUING
Sobrinho-Wheeler, Jivan 	+32  	1353  	 CONTINUING
Mallon, Alanna M. 	+74  	1330  	 CONTINUING
Azeem, Burhan 	+34  	995  	 CONTINUING
Musgrave, Adriane 	+21  	747  	 CONTINUING
Williams, Nicola A. 	+7  	638  	 CONTINUING
Pitkin, John 	+5  	541  	 CONTINUING
Kopon, Derek Andrew 	+1  	494  	 CONTINUING
Akiba, Sukia 	+7  	369  	 CONTINUING
Franklin, Charles J. 	+6  	329  	 CONTINUING
Simon, Ben 	+6  	300  	 CONTINUING
Mednick, Risa 	+8  	252  	 CONTINUING
Levy, Ilan 	+1  	111  	 CONTINUING
McNary, Jeffery 	0  	77  	 CONTINUING
Moree, Gregg J. 	0  	47  	 DEFEATED -- 2nd count
Write-In 1 	0  	17  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	0  	0  	 
