CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Siddiqui, Sumbul 	0  	2182  	 ELECTED -- 1st count
Simmons, E. Denise 	0  	2182  	 ELECTED -- 7th count
Nolan, Patricia M. 	0  	2182  	 ELECTED -- 8th count
Carlone, Dennis J. 	0  	2182  	 ELECTED -- 12th count
McGovern, Marc C. 	0  	2182  	 ELECTED -- 12th count
Azeem, Burhan 	+74  	2182  	 ELECTED -- 13th count
Zondervan, Quinton Y. 	+70  	2182  	 ELECTED -- 13th count
Mallon, Alanna M. 	+99  	2182  	 ELECTED -- 13th count
Toner, Paul F. 	+86  	2182  	 ELECTED -- 13th count
Sobrinho-Wheeler, Jivan 	-1898  	0  	 DEFEATED -- 12th count
Williams, Nicola A. 	0  	0  	 DEFEATED -- 11th count
Skeadas, Theodora Theo 	0  	0  	 DEFEATED -- 10th count
McGuirk, Joe 	0  	0  	 DEFEATED -- 9th count
Bullister, Dana 	0  	0  	 DEFEATED -- 8th count
Hicks, Tonia D. 	0  	0  	 DEFEATED -- 7th count
Pierre, Frantz 	0  	0  	 DEFEATED -- 6th count
Levy, Ilan 	0  	0  	 DEFEATED -- 5th count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 4th count
Eckstut, Robert 	0  	0  	 DEFEATED -- 3rd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+1569  	2176  	 
TOTALS: 	0  	21814  	 
