CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Siddiqui, Sumbul 	0  	2182  	 ELECTED -- 1st count
Simmons, E. Denise 	0  	2182  	 ELECTED -- 7th count
Nolan, Patricia M. 	0  	2182  	 ELECTED -- 8th count
McGovern, Marc C. 	+82  	2055  	 CONTINUING
Toner, Paul F. 	+60  	2012  	 CONTINUING
Azeem, Burhan 	+145  	1955  	 CONTINUING
Mallon, Alanna M. 	+109  	1914  	 CONTINUING
Zondervan, Quinton Y. 	+185  	1777  	 CONTINUING
Carlone, Dennis J. 	+60  	1762  	 CONTINUING
Sobrinho-Wheeler, Jivan 	+187  	1721  	 CONTINUING
Williams, Nicola A. 	+193  	1690  	 DEFEATED -- 11th count
Skeadas, Theodora Theo 	-1104  	0  	 DEFEATED -- 10th count
McGuirk, Joe 	0  	0  	 DEFEATED -- 9th count
Bullister, Dana 	0  	0  	 DEFEATED -- 8th count
Hicks, Tonia D. 	0  	0  	 DEFEATED -- 7th count
Pierre, Frantz 	0  	0  	 DEFEATED -- 6th count
Levy, Ilan 	0  	0  	 DEFEATED -- 5th count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 4th count
Eckstut, Robert 	0  	0  	 DEFEATED -- 3rd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+83  	382  	 
