CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Cheung, Leland 	0  	1775  	 ELECTED -- 1st count
Maher, David P. 	+20  	1603  	 CONTINUING
Toomey, Jr., Timothy J. 	+8  	1543  	 CONTINUING
Benzan, Dennis A. 	+19  	1427  	 CONTINUING
McGovern, Marc C. 	+25  	1333  	 CONTINUING
Simmons, E. Denise 	+25  	1329  	 CONTINUING
Carlone, Dennis J. 	+63  	1313  	 CONTINUING
Mazen, Nadeem A. 	+66  	1264  	 CONTINUING
Kelley, Craig A. 	+34  	1242  	 CONTINUING
vanBeuzekom, Minka Y. 	+57  	1078  	 CONTINUING
Reeves, Kenneth E. 	+11  	1051  	 CONTINUING
Seidel, Sam 	+29  	821  	 CONTINUING
Smith, Jefferson R. 	+22  	655  	 CONTINUING
Leslie, Logan Edward 	+12  	556  	 CONTINUING
Von Hoffmann, Kristen . 	+29  	514  	 DEFEATED -- 11th count
House, Janneke Ann 	-451  	0  	 DEFEATED -- 10th count
Mirza, Mushtaque A. 	0  	0  	 DEFEATED -- 9th count
Vasquez, Luis 	0  	0  	 DEFEATED -- 8th count
Mello, Gary W. 	0  	0  	 DEFEATED -- 7th count
Yarden, Elie 	0  	0  	 DEFEATED -- 6th count
Lee, James 	0  	0  	 DEFEATED -- 5th count
Phillips, Lesley Rebec. 	0  	0  	 DEFEATED -- 4th count
Williamson, James M. 	0  	0  	 DEFEATED -- 3rd count
Peden, Ronald 	0  	0  	 DEFEATED -- 2nd count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 2nd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+31  	239  	 
