CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Cheung, Leland 	0  	1775  	 ELECTED -- 1st count
Maher, David P. 	+68  	1697  	 CONTINUING
Toomey, Jr., Timothy J. 	+42  	1603  	 CONTINUING
Benzan, Dennis A. 	+28  	1498  	 CONTINUING
McGovern, Marc C. 	+32  	1409  	 CONTINUING
Simmons, E. Denise 	+16  	1392  	 CONTINUING
Carlone, Dennis J. 	+29  	1375  	 CONTINUING
Mazen, Nadeem A. 	+35  	1342  	 CONTINUING
Kelley, Craig A. 	+43  	1323  	 CONTINUING
vanBeuzekom, Minka Y. 	+27  	1181  	 CONTINUING
Reeves, Kenneth E. 	+19  	1092  	 CONTINUING
Seidel, Sam 	+22  	873  	 CONTINUING
Smith, Jefferson R. 	+9  	700  	 DEFEATED -- 13th count
Leslie, Logan Edward 	-569  	0  	 DEFEATED -- 12th count
Von Hoffmann, Kristen . 	0  	0  	 DEFEATED -- 11th count
House, Janneke Ann 	0  	0  	 DEFEATED -- 10th count
Mirza, Mushtaque A. 	0  	0  	 DEFEATED -- 9th count
Vasquez, Luis 	0  	0  	 DEFEATED -- 8th count
Mello, Gary W. 	0  	0  	 DEFEATED -- 7th count
Yarden, Elie 	0  	0  	 DEFEATED -- 6th count
Lee, James 	0  	0  	 DEFEATED -- 5th count
Phillips, Lesley Rebec. 	0  	0  	 DEFEATED -- 4th count
Williamson, James M. 	0  	0  	 DEFEATED -- 3rd count
Peden, Ronald 	0  	0  	 DEFEATED -- 2nd count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 2nd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+199  	483  	 
