CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Cheung, Leland 	-616  	1775  	 ELECTED -- 1st count
Maher, David P. 	+68  	1532  	 CONTINUING
Toomey, Jr., Timothy J. 	+24  	1481  	 CONTINUING
Benzan, Dennis A. 	+25  	1326  	 CONTINUING
McGovern, Marc C. 	+61  	1248  	 CONTINUING
Simmons, E. Denise 	+49  	1233  	 CONTINUING
Carlone, Dennis J. 	+25  	1176  	 CONTINUING
Kelley, Craig A. 	+74  	1167  	 CONTINUING
Mazen, Nadeem A. 	+36  	1021  	 CONTINUING
Reeves, Kenneth E. 	+37  	971  	 CONTINUING
vanBeuzekom, Minka Y. 	+64  	939  	 CONTINUING
Seidel, Sam 	+37  	738  	 CONTINUING
Smith, Jefferson R. 	+28  	607  	 CONTINUING
Leslie, Logan Edward 	+10  	514  	 CONTINUING
Von Hoffmann, Kristen . 	+20  	440  	 CONTINUING
House, Janneke Ann 	+19  	429  	 CONTINUING
Mirza, Mushtaque A. 	+5  	289  	 CONTINUING
Vasquez, Luis 	+9  	273  	 CONTINUING
Mello, Gary W. 	+4  	111  	 CONTINUING
Yarden, Elie 	+1  	103  	 CONTINUING
Lee, James 	+10  	101  	 CONTINUING
Phillips, Lesley Rebec. 	+7  	89  	 CONTINUING
Williamson, James M. 	+2  	76  	 CONTINUING
Peden, Ronald 	0  	49  	 DEFEATED -- 2nd count
Moree, Gregg J. 	+1  	39  	 DEFEATED -- 2nd count
Write-In 1 	0  	14  	 DEFEATED -- 2nd count
Write-In 2 	0  	2  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	0  	0  	 
