CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Cheung, Leland 	0  	1775  	 ELECTED -- 1st count
Maher, David P. 	+44  	1741  	 CONTINUING
Toomey, Jr., Timothy J. 	+43  	1646  	 CONTINUING
Benzan, Dennis A. 	+52  	1550  	 CONTINUING
McGovern, Marc C. 	+69  	1478  	 CONTINUING
Simmons, E. Denise 	+63  	1455  	 CONTINUING
Mazen, Nadeem A. 	+90  	1432  	 CONTINUING
Carlone, Dennis J. 	+50  	1425  	 CONTINUING
Kelley, Craig A. 	+44  	1367  	 CONTINUING
vanBeuzekom, Minka Y. 	+85  	1266  	 CONTINUING
Reeves, Kenneth E. 	+26  	1118  	 CONTINUING
Seidel, Sam 	+59  	932  	 DEFEATED -- 14th count
Smith, Jefferson R. 	-700  	0  	 DEFEATED -- 13th count
Leslie, Logan Edward 	0  	0  	 DEFEATED -- 12th count
Von Hoffmann, Kristen . 	0  	0  	 DEFEATED -- 11th count
House, Janneke Ann 	0  	0  	 DEFEATED -- 10th count
Mirza, Mushtaque A. 	0  	0  	 DEFEATED -- 9th count
Vasquez, Luis 	0  	0  	 DEFEATED -- 8th count
Mello, Gary W. 	0  	0  	 DEFEATED -- 7th count
Yarden, Elie 	0  	0  	 DEFEATED -- 6th count
Lee, James 	0  	0  	 DEFEATED -- 5th count
Phillips, Lesley Rebec. 	0  	0  	 DEFEATED -- 4th count
Williamson, James M. 	0  	0  	 DEFEATED -- 3rd count
Peden, Ronald 	0  	0  	 DEFEATED -- 2nd count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 2nd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+75  	558  	 
