CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Cheung, Leland 	0  	1775  	 ELECTED -- 1st count
Maher, David P. 	0  	1775  	 ELECTED -- 15th count
Benzan, Dennis A. 	0  	1775  	 ELECTED -- 16th count
Toomey, Jr., Timothy J. 	0  	1775  	 ELECTED -- 16th count
Simmons, E. Denise 	0  	1775  	 ELECTED -- 16th count
McGovern, Marc C. 	+96  	1775  	 ELECTED -- 17th count
Carlone, Dennis J. 	+227  	1775  	 ELECTED -- 17th count
Kelley, Craig A. 	+210  	1775  	 ELECTED -- 17th count
Mazen, Nadeem A. 	+226  	1775  	 ELECTED -- 17th count
vanBeuzekom, Minka Y. 	-1535  	0  	 DEFEATED -- 16th count
Reeves, Kenneth E. 	0  	0  	 DEFEATED -- 15th count
Seidel, Sam 	0  	0  	 DEFEATED -- 14th count
Smith, Jefferson R. 	0  	0  	 DEFEATED -- 13th count
Leslie, Logan Edward 	0  	0  	 DEFEATED -- 12th count
Von Hoffmann, Kristen . 	0  	0  	 DEFEATED -- 11th count
House, Janneke Ann 	0  	0  	 DEFEATED -- 10th count
Mirza, Mushtaque A. 	0  	0  	 DEFEATED -- 9th count
Vasquez, Luis 	0  	0  	 DEFEATED -- 8th count
Mello, Gary W. 	0  	0  	 DEFEATED -- 7th count
Yarden, Elie 	0  	0  	 DEFEATED -- 6th count
Lee, James 	0  	0  	 DEFEATED -- 5th count
Phillips, Lesley Rebec. 	0  	0  	 DEFEATED -- 4th count
Williamson, James M. 	0  	0  	 DEFEATED -- 3rd count
Peden, Ronald 	0  	0  	 DEFEATED -- 2nd count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 2nd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+776  	1768  	 
