CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Mazen, Nadeem A. 	0  	1786  	 ELECTED -- 1st count
Simmons, E. Denise 	+5  	1757  	 CONTINUING
Maher, David P. 	+2  	1666  	 CONTINUING
Kelley, Craig A. 	+2  	1459  	 CONTINUING
Toomey, Jr., Timothy J. 	+2  	1429  	 CONTINUING
Devereux, Jan 	+15  	1344  	 CONTINUING
McGovern, Marc C. 	+1  	1225  	 CONTINUING
Cheung, Leland 	+1  	1215  	 CONTINUING
Benzan, Dennis A. 	+3  	1184  	 CONTINUING
vanBeuzekom, Minka Y. 	+6  	1043  	 CONTINUING
Carlone, Dennis J. 	+4  	1027  	 CONTINUING
Davidson, Mariko 	+9  	914  	 CONTINUING
Connolly, Mike 	+3  	869  	 CONTINUING
Waite, Romaine 	+2  	299  	 CONTINUING
Mahoney, Jr., Paul F. 	+2  	260  	 CONTINUING
Levy, Ilan S. 	+5  	166  	 CONTINUING
Mello, Gary W. 	+8  	146  	 DEFEATED -- 7th count
Courtney, Kim 	-84  	0  	 DEFEATED -- 6th count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 5th count
Williamson, James M. 	0  	0  	 DEFEATED -- 4th count
Degoes, Jr., Plinio T. 	0  	0  	 DEFEATED -- 3rd count
Sanzone, John 	0  	0  	 DEFEATED -- 2nd count
Dietrich, Xavier 	0  	0  	 DEFEATED -- 2nd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+14  	65  	 
