CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Mazen, Nadeem A. 	-143  	1786  	 ELECTED -- 1st count
Simmons, E. Denise 	+9  	1724  	 CONTINUING
Maher, David P. 	+12  	1649  	 CONTINUING
Kelley, Craig A. 	+7  	1441  	 CONTINUING
Toomey, Jr., Timothy J. 	+2  	1418  	 CONTINUING
Devereux, Jan 	+9  	1316  	 CONTINUING
McGovern, Marc C. 	+10  	1212  	 CONTINUING
Cheung, Leland 	+6  	1195  	 CONTINUING
Benzan, Dennis A. 	+5  	1164  	 CONTINUING
vanBeuzekom, Minka Y. 	+8  	1022  	 CONTINUING
Carlone, Dennis J. 	+16  	1018  	 CONTINUING
Davidson, Mariko 	+36  	889  	 CONTINUING
Connolly, Mike 	+7  	848  	 CONTINUING
Waite, Romaine 	+10  	284  	 CONTINUING
Mahoney, Jr., Paul F. 	+1  	252  	 CONTINUING
Levy, Ilan S. 	+1  	154  	 CONTINUING
Mello, Gary W. 	0  	119  	 CONTINUING
Moree, Gregg J. 	+1  	79  	 CONTINUING
Williamson, James M. 	+1  	73  	 CONTINUING
Courtney, Kim 	0  	72  	 CONTINUING
Degoes, Jr., Plinio T. 	+1  	52  	 CONTINUING
Sanzone, John 	+1  	33  	 DEFEATED -- 2nd count
Dietrich, Xavier 	0  	27  	 DEFEATED -- 2nd count
Write-In 1 	0  	25  	 DEFEATED -- 2nd count
Write-In 2 	0  	1  	 DEFEATED -- 2nd count
Write-In 4 	0  	1  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	0  	0  	 
