CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Mazen, Nadeem A. 	0  	1786  	 ELECTED -- 1st count
Simmons, E. Denise 	+6  	1767  	 CONTINUING
Maher, David P. 	+6  	1684  	 CONTINUING
Kelley, Craig A. 	+9  	1479  	 CONTINUING
Toomey, Jr., Timothy J. 	+17  	1451  	 CONTINUING
Devereux, Jan 	+16  	1365  	 CONTINUING
McGovern, Marc C. 	+3  	1232  	 CONTINUING
Cheung, Leland 	+11  	1231  	 CONTINUING
Benzan, Dennis A. 	+4  	1193  	 CONTINUING
vanBeuzekom, Minka Y. 	+18  	1075  	 CONTINUING
Carlone, Dennis J. 	+10  	1048  	 CONTINUING
Davidson, Mariko 	+25  	946  	 CONTINUING
Connolly, Mike 	+32  	907  	 CONTINUING
Waite, Romaine 	+12  	315  	 CONTINUING
Mahoney, Jr., Paul F. 	+5  	276  	 DEFEATED -- 9th count
Levy, Ilan S. 	-187  	0  	 DEFEATED -- 8th count
Mello, Gary W. 	0  	0  	 DEFEATED -- 7th count
Courtney, Kim 	0  	0  	 DEFEATED -- 6th count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 5th count
Williamson, James M. 	0  	0  	 DEFEATED -- 4th count
Degoes, Jr., Plinio T. 	0  	0  	 DEFEATED -- 3rd count
Sanzone, John 	0  	0  	 DEFEATED -- 2nd count
Dietrich, Xavier 	0  	0  	 DEFEATED -- 2nd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+13  	99  	 
