CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Mazen, Nadeem A. 	0  	1786  	 ELECTED -- 1st count
Simmons, E. Denise 	+7  	1786  	 ELECTED -- 11th count
Maher, David P. 	+3  	1743  	 CONTINUING
Toomey, Jr., Timothy J. 	+6  	1521  	 CONTINUING
Kelley, Craig A. 	+11  	1504  	 CONTINUING
Devereux, Jan 	+30  	1408  	 CONTINUING
McGovern, Marc C. 	+18  	1268  	 CONTINUING
Cheung, Leland 	+23  	1266  	 CONTINUING
Benzan, Dennis A. 	+34  	1243  	 CONTINUING
vanBeuzekom, Minka Y. 	+30  	1116  	 CONTINUING
Carlone, Dennis J. 	+18  	1068  	 CONTINUING
Davidson, Mariko 	+72  	1020  	 CONTINUING
Connolly, Mike 	+34  	954  	 DEFEATED -- 11th count
Waite, Romaine 	-321  	0  	 DEFEATED -- 10th count
Mahoney, Jr., Paul F. 	0  	0  	 DEFEATED -- 9th count
Levy, Ilan S. 	0  	0  	 DEFEATED -- 8th count
Mello, Gary W. 	0  	0  	 DEFEATED -- 7th count
Courtney, Kim 	0  	0  	 DEFEATED -- 6th count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 5th count
Williamson, James M. 	0  	0  	 DEFEATED -- 4th count
Degoes, Jr., Plinio T. 	0  	0  	 DEFEATED -- 3rd count
Sanzone, John 	0  	0  	 DEFEATED -- 2nd count
Dietrich, Xavier 	0  	0  	 DEFEATED -- 2nd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+35  	171  	 
