CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Mazen, Nadeem A. 	0  	1786  	 ELECTED -- 1st count
Simmons, E. Denise 	+5  	1735  	 CONTINUING
Maher, David P. 	+2  	1656  	 CONTINUING
Kelley, Craig A. 	+3  	1453  	 CONTINUING
Toomey, Jr., Timothy J. 	0  	1423  	 CONTINUING
Devereux, Jan 	+2  	1328  	 CONTINUING
McGovern, Marc C. 	+5  	1219  	 CONTINUING
Cheung, Leland 	+3  	1206  	 CONTINUING
Benzan, Dennis A. 	+8  	1175  	 CONTINUING
vanBeuzekom, Minka Y. 	+6  	1034  	 CONTINUING
Carlone, Dennis J. 	+3  	1023  	 CONTINUING
Davidson, Mariko 	+1  	902  	 CONTINUING
Connolly, Mike 	+5  	865  	 CONTINUING
Waite, Romaine 	+7  	296  	 CONTINUING
Mahoney, Jr., Paul F. 	0  	255  	 CONTINUING
Levy, Ilan S. 	+3  	161  	 CONTINUING
Mello, Gary W. 	+14  	134  	 CONTINUING
Courtney, Kim 	0  	84  	 CONTINUING
Moree, Gregg J. 	+1  	83  	 DEFEATED -- 5th count
Williamson, James M. 	-75  	0  	 DEFEATED -- 4th count
Degoes, Jr., Plinio T. 	0  	0  	 DEFEATED -- 3rd count
Sanzone, John 	0  	0  	 DEFEATED -- 2nd count
Dietrich, Xavier 	0  	0  	 DEFEATED -- 2nd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+7  	36  	 
