CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Mazen, Nadeem A. 	0  	1786  	 ELECTED -- 1st count
Simmons, E. Denise 	0  	1786  	 ELECTED -- 11th count
Maher, David P. 	+19  	1762  	 CONTINUING
Devereux, Jan 	+189  	1597  	 CONTINUING
Toomey, Jr., Timothy J. 	+38  	1559  	 CONTINUING
Kelley, Craig A. 	+45  	1549  	 CONTINUING
Carlone, Dennis J. 	+261  	1329  	 CONTINUING
McGovern, Marc C. 	+56  	1324  	 CONTINUING
Cheung, Leland 	+54  	1320  	 CONTINUING
Benzan, Dennis A. 	+44  	1287  	 CONTINUING
vanBeuzekom, Minka Y. 	+77  	1193  	 CONTINUING
Davidson, Mariko 	+121  	1141  	 DEFEATED -- 12th count
Connolly, Mike 	-954  	0  	 DEFEATED -- 11th count
Waite, Romaine 	0  	0  	 DEFEATED -- 10th count
Mahoney, Jr., Paul F. 	0  	0  	 DEFEATED -- 9th count
Levy, Ilan S. 	0  	0  	 DEFEATED -- 8th count
Mello, Gary W. 	0  	0  	 DEFEATED -- 7th count
Courtney, Kim 	0  	0  	 DEFEATED -- 6th count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 5th count
Williamson, James M. 	0  	0  	 DEFEATED -- 4th count
Degoes, Jr., Plinio T. 	0  	0  	 DEFEATED -- 3rd count
Sanzone, John 	0  	0  	 DEFEATED -- 2nd count
Dietrich, Xavier 	0  	0  	 DEFEATED -- 2nd count
Write-In 1 	0  	0  	 DEFEATED -- 2nd count
Write-In 2 	0  	0  	 DEFEATED -- 2nd count
Write-In 4 	0  	0  	 DEFEATED -- 2nd count
Write-In 3 	0  	0  	 DEFEATED -- 2nd count
Write-In 5 	0  	0  	 DEFEATED -- 2nd count
Write-In 6 	0  	0  	 DEFEATED -- 2nd count
Write-In 7 	0  	0  	 DEFEATED -- 2nd count
Write-In 8 	0  	0  	 DEFEATED -- 2nd count
Write-In 9 	0  	0  	 DEFEATED -- 2nd count
EXHAUSTED PILE: 	+50  	221  	 
