CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Simmons, E. Denise 	0  	2253  	 ELECTED -- 1st count
Siddiqui, Sumbul 	0  	2253  	 ELECTED -- 1st count
McGovern, Marc C. 	+29  	2253  	 ELECTED -- 15th count
Devereux, Jan 	+74  	2107  	 CONTINUING
Zondervan, Quinton Y. 	+82  	1945  	 CONTINUING
Toomey, Jr., Timothy J. 	+31  	1862  	 CONTINUING
Mallon, Alanna M. 	+130  	1826  	 CONTINUING
Carlone, Dennis J. 	+47  	1420  	 CONTINUING
Kelley, Craig A. 	+44  	1297  	 CONTINUING
Harding, Jr., Richard 	+136  	1171  	 CONTINUING
Sivongxay, Vatsady 	+92  	1169  	 CONTINUING
Toner, Paul F. 	+32  	1153  	 CONTINUING
Tierney, Sean 	+105  	1145  	 DEFEATED -- 15th count
Gebru, Samuel 	-1008  	0  	 DEFEATED -- 14th count
Okamoto, Nadya T. 	0  	0  	 DEFEATED -- 13th count
Musgrave, Adriane B. 	0  	0  	 DEFEATED -- 12th count
Burgin, Josh M. 	0  	0  	 DEFEATED -- 11th count
Volmar, Gwen Thomas 	0  	0  	 DEFEATED -- 10th count
Levy, Ilan 	0  	0  	 DEFEATED -- 9th count
Benjamin, Ronald 	0  	0  	 DEFEATED -- 8th count
D'Ambrosio, Olivia 	0  	0  	 DEFEATED -- 7th count
Santos, Jeff 	0  	0  	 DEFEATED -- 6th count
Pillai, Hari I. 	0  	0  	 DEFEATED -- 5th count
Lenke, Dan 	0  	0  	 DEFEATED -- 4th count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 3rd count
Sutton, Bryan 	0  	0  	 DEFEATED -- 3rd count
Write-In 1 	0  	0  	 DEFEATED -- 3rd count
EXHAUSTED PILE: 	+206  	670  	 
