CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Simmons, E. Denise 	0  	2253  	 ELECTED -- 1st count
Siddiqui, Sumbul 	0  	2253  	 ELECTED -- 1st count
McGovern, Marc C. 	+43  	2224  	 CONTINUING
Devereux, Jan 	+80  	2033  	 CONTINUING
Zondervan, Quinton Y. 	+67  	1863  	 CONTINUING
Toomey, Jr., Timothy J. 	+18  	1831  	 CONTINUING
Mallon, Alanna M. 	+63  	1696  	 CONTINUING
Carlone, Dennis J. 	+41  	1373  	 CONTINUING
Kelley, Craig A. 	+28  	1253  	 CONTINUING
Toner, Paul F. 	+14  	1121  	 CONTINUING
Sivongxay, Vatsady 	+125  	1077  	 CONTINUING
Tierney, Sean 	+38  	1040  	 CONTINUING
Harding, Jr., Richard 	+19  	1035  	 CONTINUING
Gebru, Samuel 	+61  	1008  	 DEFEATED -- 14th count
Okamoto, Nadya T. 	-718  	0  	 DEFEATED -- 13th count
Musgrave, Adriane B. 	0  	0  	 DEFEATED -- 12th count
Burgin, Josh M. 	0  	0  	 DEFEATED -- 11th count
Volmar, Gwen Thomas 	0  	0  	 DEFEATED -- 10th count
Levy, Ilan 	0  	0  	 DEFEATED -- 9th count
Benjamin, Ronald 	0  	0  	 DEFEATED -- 8th count
D'Ambrosio, Olivia 	0  	0  	 DEFEATED -- 7th count
Santos, Jeff 	0  	0  	 DEFEATED -- 6th count
Pillai, Hari I. 	0  	0  	 DEFEATED -- 5th count
Lenke, Dan 	0  	0  	 DEFEATED -- 4th count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 3rd count
Sutton, Bryan 	0  	0  	 DEFEATED -- 3rd count
Write-In 1 	0  	0  	 DEFEATED -- 3rd count
EXHAUSTED PILE: 	+121  	464  	 
