CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Simmons, E. Denise 	0  	2253  	 ELECTED -- 1st count
Siddiqui, Sumbul 	0  	2253  	 ELECTED -- 1st count
McGovern, Marc C. 	+5  	1974  	 CONTINUING
Devereux, Jan 	+7  	1779  	 CONTINUING
Toomey, Jr., Timothy J. 	+6  	1695  	 CONTINUING
Zondervan, Quinton Y. 	+13  	1626  	 CONTINUING
Mallon, Alanna M. 	+4  	1384  	 CONTINUING
Carlone, Dennis J. 	+7  	1222  	 CONTINUING
Kelley, Craig A. 	+1  	1130  	 CONTINUING
Toner, Paul F. 	+2  	1016  	 CONTINUING
Harding, Jr., Richard 	0  	908  	 CONTINUING
Gebru, Samuel 	+4  	835  	 CONTINUING
Sivongxay, Vatsady 	+10  	825  	 CONTINUING
Tierney, Sean 	+3  	803  	 CONTINUING
Musgrave, Adriane B. 	+4  	598  	 CONTINUING
Okamoto, Nadya T. 	+15  	589  	 CONTINUING
Burgin, Josh M. 	+3  	406  	 CONTINUING
Levy, Ilan 	+5  	269  	 CONTINUING
Volmar, Gwen Thomas 	+3  	264  	 CONTINUING
Benjamin, Ronald 	+2  	261  	 CONTINUING
D'Ambrosio, Olivia 	+3  	231  	 CONTINUING
Santos, Jeff 	+9  	168  	 DEFEATED -- 6th count
Pillai, Hari I. 	-115  	0  	 DEFEATED -- 5th count
Lenke, Dan 	0  	0  	 DEFEATED -- 4th count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 3rd count
Sutton, Bryan 	0  	0  	 DEFEATED -- 3rd count
Write-In 1 	0  	0  	 DEFEATED -- 3rd count
EXHAUSTED PILE: 	+9  	35  	 
