CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Simmons, E. Denise 	0  	2253  	 ELECTED -- 1st count
Siddiqui, Sumbul 	0  	2253  	 ELECTED -- 1st count
McGovern, Marc C. 	+17  	2052  	 CONTINUING
Devereux, Jan 	+24  	1879  	 CONTINUING
Toomey, Jr., Timothy J. 	+12  	1779  	 CONTINUING
Zondervan, Quinton Y. 	+36  	1758  	 CONTINUING
Mallon, Alanna M. 	+38  	1482  	 CONTINUING
Carlone, Dennis J. 	+16  	1291  	 CONTINUING
Kelley, Craig A. 	+8  	1165  	 CONTINUING
Toner, Paul F. 	+4  	1052  	 CONTINUING
Harding, Jr., Richard 	+11  	973  	 CONTINUING
Sivongxay, Vatsady 	+34  	915  	 CONTINUING
Gebru, Samuel 	+14  	885  	 CONTINUING
Tierney, Sean 	+13  	844  	 CONTINUING
Okamoto, Nadya T. 	+18  	666  	 CONTINUING
Musgrave, Adriane B. 	+13  	626  	 CONTINUING
Burgin, Josh M. 	+8  	441  	 DEFEATED -- 11th count
Volmar, Gwen Thomas 	-299  	0  	 DEFEATED -- 10th count
Levy, Ilan 	0  	0  	 DEFEATED -- 9th count
Benjamin, Ronald 	0  	0  	 DEFEATED -- 8th count
D'Ambrosio, Olivia 	0  	0  	 DEFEATED -- 7th count
Santos, Jeff 	0  	0  	 DEFEATED -- 6th count
Pillai, Hari I. 	0  	0  	 DEFEATED -- 5th count
Lenke, Dan 	0  	0  	 DEFEATED -- 4th count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 3rd count
Sutton, Bryan 	0  	0  	 DEFEATED -- 3rd count
Write-In 1 	0  	0  	 DEFEATED -- 3rd count
EXHAUSTED PILE: 	+33  	210  	 
