CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Simmons, E. Denise 	0  	2253  	 ELECTED -- 1st count
Siddiqui, Sumbul 	0  	2253  	 ELECTED -- 1st count
McGovern, Marc C. 	0  	2253  	 ELECTED -- 15th count
Devereux, Jan 	+48  	2253  	 ELECTED -- 17th count
Mallon, Alanna M. 	+121  	2253  	 ELECTED -- 17th count
Zondervan, Quinton Y. 	+237  	2253  	 ELECTED -- 17th count
Toomey, Jr., Timothy J. 	+46  	2003  	 CONTINUING
Carlone, Dennis J. 	+226  	1706  	 CONTINUING
Kelley, Craig A. 	+87  	1473  	 CONTINUING
Toner, Paul F. 	+75  	1382  	 CONTINUING
Harding, Jr., Richard 	+104  	1348  	 DEFEATED -- 17th count
Sivongxay, Vatsady 	-1222  	0  	 DEFEATED -- 16th count
Tierney, Sean 	0  	0  	 DEFEATED -- 15th count
Gebru, Samuel 	0  	0  	 DEFEATED -- 14th count
Okamoto, Nadya T. 	0  	0  	 DEFEATED -- 13th count
Musgrave, Adriane B. 	0  	0  	 DEFEATED -- 12th count
Burgin, Josh M. 	0  	0  	 DEFEATED -- 11th count
Volmar, Gwen Thomas 	0  	0  	 DEFEATED -- 10th count
Levy, Ilan 	0  	0  	 DEFEATED -- 9th count
Benjamin, Ronald 	0  	0  	 DEFEATED -- 8th count
D'Ambrosio, Olivia 	0  	0  	 DEFEATED -- 7th count
Santos, Jeff 	0  	0  	 DEFEATED -- 6th count
Pillai, Hari I. 	0  	0  	 DEFEATED -- 5th count
Lenke, Dan 	0  	0  	 DEFEATED -- 4th count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 3rd count
Sutton, Bryan 	0  	0  	 DEFEATED -- 3rd count
Write-In 1 	0  	0  	 DEFEATED -- 3rd count
EXHAUSTED PILE: 	+278  	1094  	 
