CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Simmons, E. Denise 	0  	2253  	 ELECTED -- 1st count
Siddiqui, Sumbul 	0  	2253  	 ELECTED -- 1st count
McGovern, Marc C. 	+14  	1988  	 CONTINUING
Devereux, Jan 	+8  	1787  	 CONTINUING
Toomey, Jr., Timothy J. 	+14  	1709  	 CONTINUING
Zondervan, Quinton Y. 	+23  	1649  	 CONTINUING
Mallon, Alanna M. 	+7  	1391  	 CONTINUING
Carlone, Dennis J. 	+7  	1229  	 CONTINUING
Kelley, Craig A. 	+3  	1133  	 CONTINUING
Toner, Paul F. 	+4  	1020  	 CONTINUING
Harding, Jr., Richard 	+8  	916  	 CONTINUING
Gebru, Samuel 	+3  	838  	 CONTINUING
Sivongxay, Vatsady 	+13  	838  	 CONTINUING
Tierney, Sean 	+7  	810  	 CONTINUING
Okamoto, Nadya T. 	+12  	601  	 CONTINUING
Musgrave, Adriane B. 	+1  	599  	 CONTINUING
Burgin, Josh M. 	+2  	408  	 CONTINUING
Levy, Ilan 	+3  	272  	 CONTINUING
Volmar, Gwen Thomas 	+6  	270  	 CONTINUING
Benjamin, Ronald 	+3  	264  	 CONTINUING
D'Ambrosio, Olivia 	+6  	237  	 DEFEATED -- 7th count
Santos, Jeff 	-168  	0  	 DEFEATED -- 6th count
Pillai, Hari I. 	0  	0  	 DEFEATED -- 5th count
Lenke, Dan 	0  	0  	 DEFEATED -- 4th count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 3rd count
Sutton, Bryan 	0  	0  	 DEFEATED -- 3rd count
Write-In 1 	0  	0  	 DEFEATED -- 3rd count
EXHAUSTED PILE: 	+24  	59  	 
