CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Simmons, E. Denise 	0  	2253  	 ELECTED -- 1st count
Siddiqui, Sumbul 	0  	2253  	 ELECTED -- 1st count
McGovern, Marc C. 	+91  	2181  	 CONTINUING
Devereux, Jan 	+34  	1953  	 CONTINUING
Toomey, Jr., Timothy J. 	+12  	1813  	 CONTINUING
Zondervan, Quinton Y. 	+28  	1796  	 CONTINUING
Mallon, Alanna M. 	+122  	1633  	 CONTINUING
Carlone, Dennis J. 	+18  	1332  	 CONTINUING
Kelley, Craig A. 	+28  	1225  	 CONTINUING
Toner, Paul F. 	+25  	1107  	 CONTINUING
Harding, Jr., Richard 	+21  	1016  	 CONTINUING
Tierney, Sean 	+127  	1002  	 CONTINUING
Sivongxay, Vatsady 	+30  	952  	 CONTINUING
Gebru, Samuel 	+38  	947  	 CONTINUING
Okamoto, Nadya T. 	+39  	718  	 DEFEATED -- 13th count
Musgrave, Adriane B. 	-639  	0  	 DEFEATED -- 12th count
Burgin, Josh M. 	0  	0  	 DEFEATED -- 11th count
Volmar, Gwen Thomas 	0  	0  	 DEFEATED -- 10th count
Levy, Ilan 	0  	0  	 DEFEATED -- 9th count
Benjamin, Ronald 	0  	0  	 DEFEATED -- 8th count
D'Ambrosio, Olivia 	0  	0  	 DEFEATED -- 7th count
Santos, Jeff 	0  	0  	 DEFEATED -- 6th count
Pillai, Hari I. 	0  	0  	 DEFEATED -- 5th count
Lenke, Dan 	0  	0  	 DEFEATED -- 4th count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 3rd count
Sutton, Bryan 	0  	0  	 DEFEATED -- 3rd count
Write-In 1 	0  	0  	 DEFEATED -- 3rd count
EXHAUSTED PILE: 	+26  	343  	 
