CANDIDATE 	THIS ROUND 	TOTAL 	STATUS
Simmons, E. Denise 	0  	2253  	 ELECTED -- 1st count
Siddiqui, Sumbul 	0  	2253  	 ELECTED -- 1st count
McGovern, Marc C. 	+38  	2090  	 CONTINUING
Devereux, Jan 	+40  	1919  	 CONTINUING
Toomey, Jr., Timothy J. 	+22  	1801  	 CONTINUING
Zondervan, Quinton Y. 	+10  	1768  	 CONTINUING
Mallon, Alanna M. 	+29  	1511  	 CONTINUING
Carlone, Dennis J. 	+23  	1314  	 CONTINUING
Kelley, Craig A. 	+32  	1197  	 CONTINUING
Toner, Paul F. 	+30  	1082  	 CONTINUING
Harding, Jr., Richard 	+22  	995  	 CONTINUING
Sivongxay, Vatsady 	+7  	922  	 CONTINUING
Gebru, Samuel 	+24  	909  	 CONTINUING
Tierney, Sean 	+31  	875  	 CONTINUING
Okamoto, Nadya T. 	+13  	679  	 CONTINUING
Musgrave, Adriane B. 	+13  	639  	 DEFEATED -- 12th count
Burgin, Josh M. 	-441  	0  	 DEFEATED -- 11th count
Volmar, Gwen Thomas 	0  	0  	 DEFEATED -- 10th count
Levy, Ilan 	0  	0  	 DEFEATED -- 9th count
Benjamin, Ronald 	0  	0  	 DEFEATED -- 8th count
D'Ambrosio, Olivia 	0  	0  	 DEFEATED -- 7th count
Santos, Jeff 	0  	0  	 DEFEATED -- 6th count
Pillai, Hari I. 	0  	0  	 DEFEATED -- 5th count
Lenke, Dan 	0  	0  	 DEFEATED -- 4th count
Moree, Gregg J. 	0  	0  	 DEFEATED -- 3rd count
Sutton, Bryan 	0  	0  	 DEFEATED -- 3rd count
Write-In 1 	0  	0  	 DEFEATED -- 3rd count
EXHAUSTED PILE: 	+107  	317  	 
